lag,pearson_correlation,n_observations
-10,0.7636689177092749,2053
-9,0.785094255148687,2054
-8,0.8039427154748596,2055
-7,0.8244135568108018,2056
-6,0.8435659743661216,2057
-5,0.8651174945267703,2058
-4,0.886927364564301,2059
-3,0.9097986216240592,2060
-2,0.9330256871836364,2061
-1,0.9565432214927289,2062
0,0.9816689043276144,2063
1,0.9617891902598251,2062
2,0.9421769063626158,2061
3,0.9211147443878684,2060
4,0.9022486115702526,2059
5,0.8830590540003952,2058
6,0.8640845000028633,2057
7,0.8473699385763956,2056
8,0.8294538325273941,2055
9,0.8131918807702831,2054
10,0.7940485664317899,2053
