metric,value
n_observations,2063.0
pearson_correlation,0.9816689043276144
spearman_correlation,0.9807177024138876
MAE,0.160088385273741
RMSE,0.2010836282117106
normalized_RMSE,0.27849174346861905
median_absolute_error,0.14572923072425858
max_absolute_error,1.109106433989158
mean_difference_L2_minus_L3,0.14611170440555948
median_difference_L2_minus_L3,0.14165125033793124
SD_difference,0.13818556882076488
mean_h_L2,-9.187581476479515
mean_h_L3,-9.333693180885074
SD_h_L2,0.6962940188295443
SD_h_L3,0.7220452057472543
difference_of_means,0.1461117044055591
ratio_SD_L2_to_L3,0.964335769128112
regression_intercept_L3_on_L2,0.019027448352663404
regression_slope_L3_on_L2,1.0179741701535914
R_squared,0.9636738377237792
pearson_correlation_delta_h,0.9184547668748169
RMSE_delta_h,0.06394410116831015
